Created,User Name,Page Name,state,state_code,gov_party,state_pop_2010,total_daily_posts,daily_positive_eng,daily_negative_eng,daily_total_interactions,daily_comments,daily_shares,total_confirmed,total_deaths
2020-10-14,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,38,14,110,23,35,1122,13
2020-10-14,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,3,539,61,979,233,146,380,3
2020-10-14,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,12,2702,145,6576,3392,337,1284,30
2020-10-14,scdhec,SC DHEC,South Carolina,SC,republican,5084127,6,156,39,417,129,93,926,17
2020-10-14,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,3,126,57,593,183,227,876,3
2020-10-14,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,2,123,61,559,281,94,1165,14
2020-10-14,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,1,174,99,891,400,218,6068,104
2020-10-14,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,6,281,102,1019,114,522,1709,31
2020-10-14,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,2,87,0,137,22,28,805,9
2020-10-14,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,3,253,5,445,165,22,698,9
2020-10-14,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,1,0,0,2,0,2,213,0
2020-10-14,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,12,50,26,169,29,64,266,3
2020-10-15,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,4,61,6,195,6,122,1225,50
2020-10-15,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,7,1126,23,2591,322,1120,170,1
2020-10-15,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,2,56,45,356,157,98,1278,11
2020-10-15,capublichealth,California Department of Public Health,California,CA,democratic,39557045,4,156,32,330,54,88,3050,103
2020-10-15,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,2,177,6,409,182,44,1141,2
2020-10-15,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,1266,4,1435,54,111,167,3
2020-10-15,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,6,3,0,7,1,3,34,0
2020-10-15,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,4,15,3,36,7,11,95,1
2020-10-15,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,6,1032,525,3436,1010,869,3747,29
2020-10-15,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,2,211,1,222,2,8,90,1
